trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
4259,False,"{'a': 0.002, 'e': 0.00020023878071046507}",35,19,27.968721582854357,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4260,False,"{'a': 0.002, 'e': 0.00019983870335975383}",30,7,37.20656127367647,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
4261,False,"{'a': 0.002, 'e': 0.00019943942536412282}",30,20,14.813608973231648,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4262,False,"{'a': 0.002, 'e': 0.00019904094512645886}",25,11,26.032625304196653,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4263,False,"{'a': 0.002, 'e': 0.00019864326105284078}",30,20,11.2971054273126,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4264,False,"{'a': 0.002, 'e': 0.0001982463715525321}",20,14,11.529126563752904,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4265,False,"{'a': 0.002, 'e': 0.00019785027503797364}",20,3,30.936646891983393,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4266,False,"{'a': 0.002, 'e': 0.00019745496992477945}",30,12,30.30255148009181,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4267,False,"{'a': 0.002, 'e': 0.00019706045463172792}",20,9,17.395662953557327,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4268,False,"{'a': 0.002, 'e': 0.00019666672758075762}",25,8,28.86865207752974,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4269,False,"{'a': 0.002, 'e': 0.00019627378719696024}",25,7,29.41610901058795,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4270,False,"{'a': 0.002, 'e': 0.000195881631908573}",20,13,14.856952479542663,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4271,False,"{'a': 0.002, 'e': 0.0001954902601469746}",20,3,25.545709169379432,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4272,False,"{'a': 0.002, 'e': 0.00019509967034667773}",20,4,24.262184549337228,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4273,False,"{'a': 0.002, 'e': 0.00019470986094532206}",20,12,16.163334475017994,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4274,False,"{'a': 0.002, 'e': 0.00019432083038367013}",20,15,7.107164743304134,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4275,False,"{'a': 0.002, 'e': 0.00019393257710559848}",25,11,24.64879288734184,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4276,False,"{'a': 0.002, 'e': 0.00019354509955809383}",25,7,36.815515356276016,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4277,False,"{'a': 0.002, 'e': 0.00019315839619124582}",25,14,20.434571997048057,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4278,False,"{'a': 0.002, 'e': 0.00019277246545823979}",25,13,22.545034088299516,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4279,False,"{'a': 0.002, 'e': 0.0001923873058153526}",25,15,19.765824858137762,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4280,False,"{'a': 0.002, 'e': 0.00019200291572194552}",20,0,30.23454342814341,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4281,False,"{'a': 0.002, 'e': 0.00019161929364045703}",30,21,15.49194661539104,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4282,False,"{'a': 0.002, 'e': 0.0001912364380363989}",30,0,44.70095845322326,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4283,False,"{'a': 0.002, 'e': 0.00019085434737834756}",20,13,14.522492407763625,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4284,False,"{'a': 0.002, 'e': 0.00019047302013794023}",25,17,13.197854747473574,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
